# KSA64 aligned calm (Up to date)
# 1558 data points written for 20 variables.
#
# [FlightDataType.FlightDataType.TYPE_TIME] (s),[FlightDataType.FlightDataType.TYPE_ALTITUDE] (m),[FlightDataType.FlightDataType.TYPE_POSITION_X] (m),[FlightDataType.FlightDataType.TYPE_POSITION_Y] (m),[FlightDataType.FlightDataType.TYPE_POSITION_XY] (m),[FlightDataType.FlightDataType.TYPE_VELOCITY_TOTAL] (m/s),[FlightDataType.FlightDataType.TYPE_ACCELERATION_TOTAL] (m/s²),[FlightDataType.FlightDataType.TYPE_MACH_NUMBER] (​),[FlightDataType.FlightDataType.TYPE_AOA] (rad),[FlightDataType.FlightDataType.TYPE_PITCH_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_YAW_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_MASS] (kg),[FlightDataType.FlightDataType.TYPE_CP_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_CG_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_STABILITY] (​),[FlightDataType.FlightDataType.TYPE_DRAG_COEFF] (​),[FlightDataType.FlightDataType.TYPE_THRUST_FORCE] (N),[FlightDataType.FlightDataType.TYPE_AIR_DENSITY] (kg/m³),[FlightDataType.FlightDataType.TYPE_WIND_VELOCITY] (m/s),[FlightDataType.FlightDataType.TYPE_TIME_STEP] (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.066,0.085131921,-0.000000087,0,0.000000087,3.813592676,93.89959003,0.011203645,0.00000068,0,0,2.571384437,NaN,1.042642398,NaN,1.465827957,266.665488889,1.224989745,0,0.002
0.068,0.092947131,-0.000000092,0,0.000000092,4.001729415,94.237149219,0.011756358,0.000000648,0,0,2.571171617,NaN,1.042587312,NaN,1.455782688,267.514533333,1.224988852,0,0.002
0.07,0.101139289,-0.000000097,0,0.000000097,4.190541272,94.574707673,0.012311054,0.000000619,0,0,2.570958798,NaN,1.042532217,NaN,1.446309487,268.363577778,1.224987917,0,0.002
0.072,0.109709746,-0.000000102,0,0.000000102,4.380028245,94.912265079,0.012867734,0.000000592,0,0,2.570745979,NaN,1.042477112,NaN,1.437352105,269.212622222,1.224986939,0,0.002
0.074,0.118659852,-0.000000107,0,0.000000107,4.570190332,95.249821113,0.013426397,0.000000568,0,0,2.57053316,NaN,1.042421996,NaN,1.428861914,270.061666667,1.224985917,0,0.002
0.076,0.127990957,-0.000000113,0,0.000000113,4.761027529,95.587375444,0.013987044,0.000000545,0,0,2.57032034,NaN,1.042366871,NaN,1.420796616,270.910711111,1.224984852,0,0.002
0.078,0.137704412,-0.000000118,0,0.000000118,4.952539832,95.92492773,0.014549675,0.000000524,0,0,2.570107521,NaN,1.042311737,NaN,1.413119212,271.759755556,1.224983743,0,0.002
0.08,0.147801567,-0.000000123,0,0.000000123,5.144727238,96.262477619,0.015114289,0.000000504,0,0,2.569894702,NaN,1.042256592,NaN,1.405797167,272.6088,1.22498259,0,0.002
0.082,0.158283771,-0.000000128,0,0.000000128,5.337589741,96.600024754,0.015680886,0.000000486,0,0,2.569681882,NaN,1.042201437,NaN,1.398801734,273.457844444,1.224981394,0,0.002
0.084,0.169152376,-0.000000133,0,0.000000133,5.531127335,96.937568771,0.016249467,0.000000469,0,0,2.569469063,NaN,1.042146273,NaN,1.392107399,274.306888889,1.224980153,0,0.002
