time_s,phase,events,east_m,north_m,altitude_m,east_velocity_mps,north_velocity_mps,vertical_velocity_mps,mach,aoa_deg,dynamic_pressure_pa,static_margin_calibers,wind_east_mps,wind_north_mps
39.949406,3,0,0.000000,0.000000,411.484985,0.000032,0.000000,-12.561451,0.00000000,0.00000000,92.890747,0.00000000,0.000000,0.000000
40.249401,3,0,0.000000,0.000000,407.717041,0.000032,0.000000,-12.559160,0.00000000,0.00000000,92.890991,0.00000000,0.000000,0.000000
40.549397,3,0,0.000000,0.000000,403.949707,0.000032,0.000000,-12.556866,0.00000000,0.00000000,92.890869,0.00000000,0.000000,0.000000
40.849392,3,0,0.000000,0.000000,400.183105,0.000032,0.000000,-12.554569,0.00000000,0.00000000,92.890991,0.00000000,0.000000,0.000000
41.149387,3,0,0.000000,0.000000,396.417236,0.000032,0.000000,-12.552282,0.00000000,0.00000000,92.890991,0.00000000,0.000000,0.000000
41.449383,3,0,0.000000,0.000000,392.651978,0.000032,0.000000,-12.549994,0.00000000,0.00000000,92.891113,0.00000000,0.000000,0.000000
41.749378,3,0,0.000000,0.000000,388.887451,0.000032,0.000000,-12.547705,0.00000000,0.00000000,92.891113,0.00000000,0.000000,0.000000
42.049374,3,0,0.000000,0.000000,385.123535,0.000032,0.000000,-12.545420,0.00000000,0.00000000,92.891113,0.00000000,0.000000,0.000000
42.349369,3,0,0.000000,0.000000,381.360352,0.000032,0.000000,-12.543142,0.00000000,0.00000000,92.891235,0.00000000,0.000000,0.000000
42.649364,3,0,0.000000,0.000000,377.597900,0.000032,0.000000,-12.540865,0.00000000,0.00000000,92.891357,0.00000000,0.000000,0.000000
42.949360,3,0,0.000000,0.000000,373.836060,0.000032,0.000000,-12.538584,0.00000000,0.00000000,92.891479,0.00000000,0.000000,0.000000
43.249355,3,0,0.000000,0.000000,370.074951,0.000032,0.000000,-12.536303,0.00000000,0.00000000,92.891479,0.00000000,0.000000,0.000000
43.549351,3,0,0.000000,0.000000,366.314575,0.000032,0.000000,-12.534025,0.00000000,0.00000000,92.891479,0.00000000,0.000000,0.000000
43.849346,3,0,0.000000,0.000000,362.554810,0.000032,0.000000,-12.531748,0.00000000,0.00000000,92.891479,0.00000000,0.000000,0.000000
44.149342,3,0,0.000000,0.000000,358.795776,0.000032,0.000000,-12.529470,0.00000000,0.00000000,92.891479,0.00000000,0.000000,0.000000
44.449337,3,0,0.000000,0.000000,355.037354,0.000032,0.000000,-12.527199,0.00000000,0.00000000,92.891479,0.00000000,0.000000,0.000000
44.749332,3,0,0.000000,0.000000,351.279663,0.000032,0.000000,-12.524933,0.00000000,0.00000000,92.891602,0.00000000,0.000000,0.000000
45.049328,3,0,0.000000,0.000000,347.522583,0.000032,0.000000,-12.522667,0.00000000,0.00000000,92.891724,0.00000000,0.000000,0.000000
45.349323,3,0,0.000000,0.000000,343.766235,0.000032,0.000000,-12.520403,0.00000000,0.00000000,92.891846,0.00000000,0.000000,0.000000
45.649319,3,0,0.000000,0.000000,340.010498,0.000032,0.000000,-12.518141,0.00000000,0.00000000,92.891846,0.00000000,0.000000,0.000000
45.949314,3,0,0.000000,0.000000,336.255493,0.000032,0.000000,-12.515877,0.00000000,0.00000000,92.891968,0.00000000,0.000000,0.000000
46.249310,3,0,0.000000,0.000000,332.501221,0.000032,0.000000,-12.513611,0.00000000,0.00000000,92.891968,0.00000000,0.000000,0.000000
46.549305,3,0,0.000000,0.000000,328.747559,0.000032,0.000000,-12.511345,0.00000000,0.00000000,92.891968,0.00000000,0.000000,0.000000
46.849300,3,0,0.000000,0.000000,324.994629,0.000032,0.000000,-12.509090,0.00000000,0.00000000,92.891968,0.00000000,0.000000,0.000000
